         MJD         m       dm       uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset      duJy_new
57598.286435 19.169763      NaN     -19.0     26 o    0     0.96 210.91067 54.31166  3966.59  8911.37 4.27 3.92 -69.0 -0.436    19.06 20.87 02a57598o0103o  0x80000          -5     28.189632
57598.302465 19.089302      NaN      -6.0     28 o    0     1.18 210.91067 54.31166  3989.54  8789.48 4.60 4.18 -71.4 -0.416    18.98 20.86 02a57598o0136o  0x80000          -5     30.044223
57598.311407 19.014394      NaN     -11.0     30 o    0     0.89 210.91067 54.31166  3956.54  8849.76 4.57 4.14 -69.5 -0.450    18.96 20.84 02a57598o0154o  0x80000          -5     31.916380
57613.253769 18.598565      NaN      16.0     37 o    0     1.34 210.91067 54.31166  2767.50  8671.50 3.66 3.62  54.5 -0.444    18.68 20.28 02a57613o0050o   0x0000          -5     38.570135
57613.267021 18.452558      NaN      20.0     42 o    0     0.83 210.91067 54.31166  1650.71  8675.95 3.77 3.73 -75.9 -0.456    18.65 20.29 02a57613o0075o   0x0000          -5     43.389576
57613.286519 18.459772 0.296768     145.0     41 o    0     0.94 210.91067 54.31166  1702.37  8748.51 3.80 3.67 -55.8 -0.451    18.59 20.15 02a57613o0111o  0x80000          -5     42.422345
57613.295862 18.702047      NaN     -45.0     40 o    0     1.13 210.91067 54.31166  1724.47  8627.77 3.71 3.55 -53.0 -0.467    18.58 20.10 02a57613o0129o  0x80000          -5     41.456668
57613.300693 18.675237      NaN     -15.0     41 o    0     1.38 210.91067 54.31166  1688.41  8687.49 3.62 3.45 -57.5 -0.469    18.58 20.04 02a57613o0138o  0x80000          -5     42.422345
57617.259169 17.664614      NaN      -7.0    104 o    0     0.95 210.91067 54.31166 10268.18  8532.40 4.92 3.21  87.7 -0.484    18.31 19.62 02a57617o0071o  0x80000          -5    104.568902
57617.268637 17.233705      NaN     159.0    100 o    0     1.06 210.91067 54.31166 10242.55  8490.62 4.95 3.22  87.5 -0.493    18.29 19.58 02a57617o0089o   0x0000          -5    100.591527
57617.277966 17.740268      NaN     -56.0     97 o    0     0.96 210.91067 54.31166  1063.94  8438.00 4.05 3.29 -57.2 -0.518    18.16 19.35 02a57617o0107o   0x0000          -5     97.609709
57617.285399 17.422338      NaN      49.0    112 o    0     1.13 210.91067 54.31166 10297.84  8570.98 5.18 3.22  87.8 -0.478    18.23 19.49 02a57617o0121o   0x0000          -5    112.528465
57617.296271 17.264559      NaN      95.0    117 o    0     1.12 210.91067 54.31166 10318.72  8453.97 5.22 3.26  86.9 -0.447    18.20 19.42 02a57617o0142o  0x80000          -5    117.505980
57617.300548 17.208266      NaN     113.0    119 o    0     1.05 210.91067 54.31166 10272.27  8508.65 5.28 3.28  89.7 -0.512    18.18 19.42 02a57617o0150o   0x0000          -5    119.497512
57620.277061 16.836435      NaN      58.0    202 o    0     0.17 210.91067 54.31166 10462.20  9014.20 4.76 3.43  85.9 -0.512    18.50 19.93 02a57620o0085o  0x80002          -5    202.293488
57620.286887 18.094452      NaN     -53.0     70 o    0     1.14 210.91067 54.31166 10435.39  8974.36 4.92 3.51  85.3 -0.518    18.39 19.81 02a57620o0103o  0x80000          -5     70.842468
57620.299398 16.593186      NaN     -36.0    279 o    0     0.20 210.91067 54.31166 10490.29  9056.68 5.15 3.64  87.0 -0.503    18.30 19.68 02a57620o0127o 0x400802          -5    279.212563
57762.575567 18.816441      NaN      19.0     28 o    0     1.15 210.91067 54.31166  6048.75  2441.72 3.59 3.51 -75.7 -0.429    18.96 20.19 02a57762o0748o   0x0000          -5     30.044223
57762.587569 19.351140      NaN     -36.0     22 o    0     1.07 210.91067 54.31166  6069.48  2483.37 3.55 3.41 -81.7 -0.435    19.22 20.65 02a57762o0770o   0x0000          -5     24.549039
57762.598663 19.287255      NaN       5.0     20 o    0     0.83 210.91067 54.31166  6014.29  2407.72 3.56 3.44 -76.2 -0.433    19.50 21.20 02a57762o0791o   0x0000          -5     22.774006
57762.609868 19.401649      NaN       1.0     19 o    0     1.11 210.91067 54.31166  5989.78  2525.17 3.53 3.41 -83.8 -0.432    19.58 21.35 02a57762o0812o  0x80000          -5     21.901035
57762.621499 19.569016      NaN     -35.0     18 o    0     0.93 210.91067 54.31166  6033.99  2467.41 3.59 3.46 -82.9 -0.429    19.55 21.33 02a57762o0834o  0x80000          -5     21.039376
57766.588053 18.649074      NaN     -18.0     42 o    0     1.13 210.91067 54.31166  8267.91  2312.93 3.54 3.21  87.7 -0.479    18.50 19.21 02a57766o0718o   0x0000          -5     43.389576
57766.600816 18.214605      NaN      57.0     42 o    0     1.06 210.91067 54.31166  8279.17  2354.85 3.55 3.17  89.2 -0.478    18.53 19.25 02a57766o0741o   0x0000          -5     43.389576
57766.614587 18.317510      NaN      37.0     43 o    0     0.96 210.91067 54.31166  8224.12  2280.95 3.55 3.25  85.3 -0.471    18.54 19.28 02a57766o0765o   0x0000          -5     44.358261
57766.628115 18.286218      NaN      54.0     39 o    0     1.10 210.91067 54.31166  8209.46  2400.11 3.61 3.29  86.6 -0.468    18.55 19.32 02a57766o0789o   0x0000          -5     40.492658
57766.640067 18.158337      NaN      79.0     38 o    0     1.06 210.91067 54.31166  8244.61  2342.20 3.58 3.27  86.6 -0.476    18.57 19.35 02a57766o0811o   0x0000          -5     39.530435
