         MJD         m       dm      uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset    duJy_new
57746.638445 19.569016      NaN    -21.0    18 c    0    1.13 210.91067 54.31166   431.08  2349.52 4.28 4.20  86.1 -0.365    19.56 21.60 02a57746o0866c   0x0000           0   19.883228
57746.648259 19.569016      NaN    -22.0    18 c    0    1.11 210.91067 54.31166  9556.51  2463.54 4.17 3.92  78.9 -0.407    19.60 21.66 02a57746o0885c   0x0000           0   19.883228
57746.650355 19.384550      NaN     13.0    17 c    0    1.09 210.91067 54.31166   372.32  2267.15 4.15 4.02  85.8 -0.380    19.60 21.59 02a57746o0889c   0x0000           0   18.982696
57746.659628 19.302877      NaN      6.0    21 c    0    0.95 210.91067 54.31166  9592.65  2405.27 4.06 3.80  79.7 -0.417    19.52 21.38 02a57746o0907c  0x80000           0   22.634989
57746.661195 19.401649      NaN     -1.0    21 c    0    0.97 210.91067 54.31166   361.31  2403.67 4.09 3.96  84.3 -0.381    19.40 21.16 02a57746o0910c   0x0000           0   22.634989
57746.669931 18.675237      NaN     -3.0    41 c    0    1.04 210.91067 54.31166   394.61  2328.07 4.32 4.15  80.1 -0.358    18.45 19.40 02a57746o0927c   0x0000           0   41.860993
57778.570698 19.569016      NaN    -19.0    18 c    0    1.17 210.91067 54.31166  9106.70 10202.76 4.12 3.71 -88.1 -0.431    19.77 21.82 02a57778o0568c  0x80000           0   19.883228
57778.576629 19.351140      NaN    -21.0    22 c    0    0.96 210.91067 54.31166  7881.92   401.59 4.00 3.78  15.2 -0.454    19.75 21.80 02a57778o0578c  0x80000           0   23.565711
57778.584061 19.051202      NaN     27.0    20 c    0    0.92 210.91067 54.31166  9120.06 10244.23 4.09 3.68 -88.1 -0.432    19.77 21.81 02a57778o0592c  0x80000           0   21.710429
57778.589437 19.115465      NaN     28.0    18 c    0    1.25 210.91067 54.31166  7894.19   442.49 3.94 3.77  18.2 -0.452    19.77 21.82 02a57778o0602c  0x80000           0   19.883228
57778.596885 19.271854      NaN     11.0    20 c    0    0.85 210.91067 54.31166  9062.69 10170.20 4.09 3.73  89.5 -0.433    19.78 21.83 02a57778o0616c 0x400400           0   21.710429
57778.602290 19.142275      NaN     20.0    20 c    0    1.11 210.91067 54.31166  7851.67   367.13 3.95 3.73  15.2 -0.452    19.79 21.85 02a57778o0626c  0x80000           0   21.710429
57778.609876 19.510313      NaN    -10.0    19 c    0    1.03 210.91067 54.31166  9040.57 10291.38 4.04 3.68 -88.5 -0.432    19.80 21.86 02a57778o0640c  0x80000           0   20.792853
57778.615190 19.401649      NaN     -9.0    21 c    0    0.78 210.91067 54.31166  7831.09   490.81 3.84 3.67  17.8 -0.453    19.81 21.88 02a57778o0650c  0x80000           0   22.634989
57778.622705 19.510313      NaN     -3.0    19 c    0    0.97 210.91067 54.31166  9086.05 10231.87 3.99 3.63 -89.0 -0.436    19.82 21.89 02a57778o0664c  0x80000           0   20.792853
57778.628048 19.401649      NaN     -8.0    21 c    0    0.99 210.91067 54.31166  7865.20   431.72 3.99 3.81  15.4 -0.447    19.77 21.86 02a57778o0674c  0x80000           0   22.634989
57782.565439 19.631075      NaN    -26.0    17 c    0    1.05 210.91067 54.31166  8317.81  1401.42 3.86 3.75  84.2 -0.416    19.82 21.96 02a57782o0717c  0x80000           0   18.982696
57782.579866 19.076453      NaN     34.0    17 c    0    0.95 210.91067 54.31166  8339.76  1441.34 3.89 3.75 -88.5 -0.409    19.84 21.99 02a57782o0743c  0x80000           0   18.982696
57782.593858 19.696897      NaN    -36.0    16 c    0    1.02 210.91067 54.31166  8283.44  1368.30 3.81 3.67  86.7 -0.414    19.88 22.03 02a57782o0769c  0x80000           0   18.092616
57782.607900 19.569016      NaN    -13.0    18 c    0    1.04 210.91067 54.31166  8260.48  1491.88 3.93 3.77  83.5 -0.405    19.81 21.96 02a57782o0795c  0x80000           0   19.883228
57782.621826 19.226921      NaN     23.0    17 c    0    1.16 210.91067 54.31166  8309.00  1433.76 3.86 3.71  85.7 -0.415    19.84 21.99 02a57782o0821c  0x80000           0   18.982696
57786.563706 19.510313      NaN    -14.0    19 c    0    0.88 210.91067 54.31166  9333.86  9922.43 3.91 3.51 -86.1 -0.426    19.80 21.89 02a57786o0507c   0x0000           0   20.792853
57786.566299 19.142275      NaN     20.0    20 c    0    1.14 210.91067 54.31166  8090.83   122.53 3.89 3.68  12.8 -0.447    19.82 21.92 02a57786o0512c   0x0000           0   21.710429
57786.576403 19.529530      NaN      2.0    18 c    0    1.05 210.91067 54.31166  9345.03  9962.72 3.98 3.59 -88.6 -0.418    19.82 21.94 02a57786o0531c  0x80000           0   19.883228
57786.579012 19.241693      NaN     10.0    21 c    0    1.03 210.91067 54.31166  8103.10   163.08 3.88 3.68  17.3 -0.448    19.85 21.96 02a57786o0536c   0x0000           0   22.634989
57786.589214 19.631075      NaN    -31.0    17 c    0    0.94 210.91067 54.31166  9286.85  9887.28 3.94 3.57 -90.0 -0.429    19.83 21.94 02a57786o0555c   0x0000           0   18.982696
