sigma_kern  peak_appmag  peak_flux sigma_sim  pct_detec_5.51  pct_detec_11.62  pct_detec_16.96  pct_detec_24.12  pct_detec_38.60  pct_detec_52.47  pct_detec_72.13  pct_detec_99.48
        15        22.63       3.22        40             NaN         6.349667              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.63       3.22        80             NaN        11.702750              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.63       3.22       120             NaN        15.486228              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.26       4.52         2             NaN         0.322675              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.26       4.52         5             NaN         0.676437              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.26       4.52        20             NaN         6.852865              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.26       4.52        40             NaN        13.356562              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.26       4.52        80             NaN        20.251716              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.26       4.52       120             NaN        24.160880              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.89       6.34         2             NaN         0.240168              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.89       6.34         5             NaN         1.312037              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.89       6.34        20             NaN        13.294964              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.89       6.34        40             NaN        23.878924              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.89       6.34        80             NaN        34.651228              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.89       6.34       120             NaN        37.984496              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.53       8.90         2             NaN         0.461095              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.53       8.90         5             NaN         2.570768              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.53       8.90        20             NaN        25.273145              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.53       8.90        40             NaN        40.531469              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.53       8.90        80             NaN        53.770869              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.53       8.90       120             NaN        60.022714              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.16      12.50         2             NaN         1.229050              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.16      12.50         5             NaN         7.024191              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.16      12.50        20             NaN        44.143614              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.16      12.50        40             NaN        64.596981              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.16      12.50        80             NaN        79.498147              NaN              NaN              NaN              NaN              NaN              NaN
        15        21.16      12.50       120             NaN        84.886012              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.79      17.55         2             NaN         2.527283              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.79      17.55         5             NaN        14.443155              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.79      17.55        20             NaN        70.308789              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.79      17.55        40             NaN        87.602579              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.79      17.55        80             NaN        96.741573              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.79      17.55       120             NaN        97.809388              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.42      24.64         2             NaN         5.146845              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.42      24.64         5             NaN        28.490673              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.42      24.64        20             NaN        88.653109              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.42      24.64        40             NaN        97.927751              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.42      24.64        80             NaN        99.797688              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.42      24.64       120             NaN        99.882457              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.05      34.59         2             NaN        10.530798              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.05      34.59         5             NaN        48.549704              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.05      34.59        20             NaN        97.230856              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.05      34.59        40             NaN        99.882732              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.05      34.59        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        20.05      34.59       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.68      48.56         2             NaN        21.956970              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.68      48.56         5             NaN        68.920455              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.68      48.56        20             NaN        99.427098              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.68      48.56        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.68      48.56        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.68      48.56       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.32      68.18         2             NaN        37.971353              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.32      68.18         5             NaN        79.530490              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.32      68.18        20             NaN        99.971871              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.32      68.18        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.32      68.18        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        19.32      68.18       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.95      95.73         2             NaN        54.771316              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.95      95.73         5             NaN        87.364518              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.95      95.73        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.95      95.73        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.95      95.73        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.95      95.73       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.58     134.41         2             NaN        66.907723              NaN              NaN              NaN              NaN              NaN              NaN
        15        18.58     134.41         5             NaN        91.645426              NaN              NaN              NaN              NaN              NaN              NaN
