sigma_kern  peak_appmag  peak_flux sigma_sim
        80        21.89       6.34        20
        80        21.89       6.34        40
        80        21.89       6.34        80
        80        21.89       6.34       110
        80        21.89       6.34       150
        80        21.89       6.34       200
        80        21.89       6.34       250
        80        21.53       8.90         5
        80        21.53       8.90        20
        80        21.53       8.90        40
        80        21.53       8.90        80
        80        21.53       8.90       110
        80        21.53       8.90       150
        80        21.53       8.90       200
        80        21.53       8.90       250
        80        21.16      12.50         5
        80        21.16      12.50        20
        80        21.16      12.50        40
        80        21.16      12.50        80
        80        21.16      12.50       110
        80        21.16      12.50       150
        80        21.16      12.50       200
        80        21.16      12.50       250
        80        20.79      17.55         5
        80        20.79      17.55        20
        80        20.79      17.55        40
        80        20.79      17.55        80
        80        20.79      17.55       110
        80        20.79      17.55       150
        80        20.79      17.55       200
        80        20.79      17.55       250
        80        20.42      24.64         5
        80        20.42      24.64        20
        80        20.42      24.64        40
        80        20.42      24.64        80
        80        20.42      24.64       110
        80        20.42      24.64       150
        80        20.42      24.64       200
        80        20.42      24.64       250
        80        20.05      34.59         5
        80        20.05      34.59        20
        80        20.05      34.59        40
        80        20.05      34.59        80
        80        20.05      34.59       110
        80        20.05      34.59       150
        80        20.05      34.59       200
        80        20.05      34.59       250
        80        19.68      48.56         5
        80        19.68      48.56        20
        80        19.68      48.56        40
        80        19.68      48.56        80
        80        19.68      48.56       110
        80        19.68      48.56       150
        80        19.68      48.56       200
        80        19.68      48.56       250
        80        19.32      68.18         5
        80        19.32      68.18        20
        80        19.32      68.18        40
        80        19.32      68.18        80
        80        19.32      68.18       110
        80        19.32      68.18       150
        80        19.32      68.18       200
        80        19.32      68.18       250
        80        18.95      95.73         5
        80        18.95      95.73        20
        80        18.95      95.73        40
        80        18.95      95.73        80
        80        18.95      95.73       110
        80        18.95      95.73       150
        80        18.95      95.73       200
        80        18.95      95.73       250
        80        18.58     134.41         5
        80        18.58     134.41        20
        80        18.58     134.41        40
        80        18.58     134.41        80
        80        18.58     134.41       110
        80        18.58     134.41       150
        80        18.58     134.41       200
        80        18.58     134.41       250
        80        18.21     188.71         5
        80        18.21     188.71        20
        80        18.21     188.71        40
        80        18.21     188.71        80
        80        18.21     188.71       110
        80        18.21     188.71       150
        80        18.21     188.71       200
        80        18.21     188.71       250
        80        17.84     264.95         5
        80        17.84     264.95        20
        80        17.84     264.95        40
        80        17.84     264.95        80
        80        17.84     264.95       110
        80        17.84     264.95       150
        80        17.84     264.95       200
        80        17.84     264.95       250
        80        17.47     371.99         5
        80        17.47     371.99        20
        80        17.47     371.99        40
        80        17.47     371.99        80
        80        17.47     371.99       110
        80        17.47     371.99       150
        80        17.47     371.99       200
        80        17.47     371.99       250
        80        17.11     522.27         5
        80        17.11     522.27        20
        80        17.11     522.27        40
        80        17.11     522.27        80
        80        17.11     522.27       110
        80        17.11     522.27       150
        80        17.11     522.27       200
        80        17.11     522.27       250
        80        16.74     733.27         5
        80        16.74     733.27        20
        80        16.74     733.27        40
        80        16.74     733.27        80
        80        16.74     733.27       110
        80        16.74     733.27       150
        80        16.74     733.27       200
        80        16.74     733.27       250
        80        16.37    1029.51         5
        80        16.37    1029.51        20
        80        16.37    1029.51        40
        80        16.37    1029.51        80
        80        16.37    1029.51       110
        80        16.37    1029.51       150
        80        16.37    1029.51       200
        80        16.37    1029.51       250
        80        16.00    1445.44         5
        80        16.00    1445.44        20
        80        16.00    1445.44        40
        80        16.00    1445.44        80
        80        16.00    1445.44       110
        80        16.00    1445.44       150
        80        16.00    1445.44       200
        80        16.00    1445.44       250
       130        23.00       2.29        20
       130        23.00       2.29        40
       130        23.00       2.29        80
       130        23.00       2.29       110
       130        23.00       2.29       150
       130        23.00       2.29       200
       130        23.00       2.29       250
       130        23.00       2.29       300
       130        22.63       3.22        20
       130        22.63       3.22        40
       130        22.63       3.22        80
       130        22.63       3.22       110
       130        22.63       3.22       150
       130        22.63       3.22       200
       130        22.63       3.22       250
       130        22.63       3.22       300
       130        22.26       4.52        20
       130        22.26       4.52        40
       130        22.26       4.52        80
       130        22.26       4.52       110
       130        22.26       4.52       150
       130        22.26       4.52       200
       130        22.26       4.52       250
       130        22.26       4.52       300
       130        21.89       6.34        20
       130        21.89       6.34        40
       130        21.89       6.34        80
       130        21.89       6.34       110
       130        21.89       6.34       150
       130        21.89       6.34       200
       130        21.89       6.34       250
       130        21.89       6.34       300
       130        21.53       8.90        20
       130        21.53       8.90        40
       130        21.53       8.90        80
       130        21.53       8.90       110
       130        21.53       8.90       150
       130        21.53       8.90       200
       130        21.53       8.90       250
       130        21.53       8.90       300
       130        21.16      12.50        20
       130        21.16      12.50        40
       130        21.16      12.50        80
       130        21.16      12.50       110
       130        21.16      12.50       150
       130        21.16      12.50       200
       130        21.16      12.50       250
       130        21.16      12.50       300
       130        20.79      17.55        20
       130        20.79      17.55        40
       130        20.79      17.55        80
       130        20.79      17.55       110
       130        20.79      17.55       150
       130        20.79      17.55       200
       130        20.79      17.55       250
       130        20.79      17.55       300
       130        20.42      24.64        20
       130        20.42      24.64        40
       130        20.42      24.64        80
       130        20.42      24.64       110
       130        20.42      24.64       150
       130        20.42      24.64       200
       130        20.42      24.64       250
       130        20.42      24.64       300
